EN01,Flagellant (Red)
EN02,Acolyte (Blue)
EN03,Bell Carrier
EN04,Bell Ghost
EN05,Stoners
EN06,Wax Crawler
EN07,Tizona
EN08,Reek
EN09,Headless Chamberlain
EN10,Chasing Head
EN11,Wakeful Alcove
EN12,Nun
EN13,Crucified
EN14,Spear of the Cathedra
EN15,Guardainfante
EN16,Processioner
EN17,Boomerang
EN18,Reek Leader
EN20,Phalaris
EN21,Blazing Icon
EN22,Jumper (Red)
EN23,Portrait
EN24,Shield Maiden
EN26,Custodian of the Stained Glass
EN27,Wax Baroness
EN28,Dirt Diver
EN29,Monfrake
EN31,Seraph
EN32,Bellido
EN33,Maniac
EV01,Flagellant (Grey)
EV02,Acolyte (Red)
EV03,Wraith
EV05,Chasing Head (Explosive)
EV08,Mud Crawler
EV10,Wheel Carrier
EV11,Enraged Pilgrim
EV12,Sewer Crawler
EV13,Jondo Bell Ringer
EV14,Convent Bell Ringer
EV15,Wakeful Alcove (Snowy)
EV17,Winged Face
EV18,Ink Baroness
EV19,Lion Head
EV20,Golden Corpse
EV21,Walking Tomb
EV22,Librarian
EV23,Processioner (Angel)
EV24,Jumper (Blue)
EV26,Isabel
EV27,Chained Angel
EV29,Winged Face (Cannon)
EN201,Axe Roller
EN202,Homing Turret
EN203,Drowned Corpse
