RB01,Dove Skull
RB02,Ember of the Holy Cremation
RB03,Silver Grape
RB04,Uvula of Proclamation
RB05,Hollow Pearl
RB06,Knot of Hair
RB07,Painted Wood Bead
RB08,Piece of a Golden Mask
RB09,Moss Preserved in Glass
RB10,Frozen Olive
RB11,Quirce's Scorched Bead
RB12,Wicker Knot
RB13,Perpetva's Protection
RB14,Thorned Symbol
RB15,Piece of a Tombstone
RB16,Sphere of the Sacred Smoke
RB17,Small Bead of Red Wax
RB18,Medium Bead of Red Wax
RB19,Big Bead of Red Wax
RB20,Little Toe made of Limestone
RB21,Big Toe made of Limestone
RB22,Fourth Toe made of Limestone
RB24,Small Bead of Blue Wax
RB25,Medium Bead of Blue Wax
RB26,Big Bead of Blue Wax
RB28,Pelican Effigy
RB30,Drop of Coagulated Ink
RB31,Amber Eye
RB32,Muted Bell
RB33,Consecrated Amythyst
RB34,Embers of a Broken Star
RB35,Scaly Coin
RB36,Seashell of the Inverted Spiral
RB37,Calcified Eye of Erudition
RB38,Immaculate Bead
RB39,Bead Marked by Guilt
RB40,Bead Tainted by Guilt
RB41,Weight of True Guilt
RB101,Reliquary of the Fervent Heart
RB102,Reliquary of the Suffering Heart
RB103,Reliquary of the Sorrowful Heart
RB104,Token of Appreciation
RB105,Cloistered Ruby
RB106,Bead of Gold Thread
RB107,Cloistered Sapphire
RB108,Fire Enclosed in Enamel
RB201,Light of the Lady of the Lamp
RB202,Scale of Burnished Alabaster
RB203,The Young Mason's Wheel
RB204,Crown of Gnawed Iron
RB301,Crimson Heart of a Miura
PR01,Seguiriya to your Eyes like Stars
PR03,Debla of the Lights
PR04,Saeta Dolorosa
PR05,Companillero to the Sons of the Aurora
PR07,Lorquiana
PR08,Zarabanda of the Safe Haven
PR09,Taranto to my Sister
PR10,Solea of Excommunication
PR11,Tiento to your Thorned Hairs
PR12,Cante Jondo of the Three Sisters
PR14,Verdiales of the Forsaken Hamlet
PR15,Romance to the Crimson Mist
PR16,Zambra to the Resplendent Crown
PR101,Aubade of the Nameless Guardian
PR201,Cantina of the Blue Rose
PR202,Mirabras of the Return to Port
PR203,Tirana of the Celstial Bastion
RE01,Blood Perpetuated in Sand
RE02,Incorrupt Hand of the Fraternal Master
RE03,Nail Uprooted from Dirt
RE04,Shroud of Dreamt Sins
RE05,Linen of Golden Thread
RE07,Silvered Lung of Dolphos
RE10,Three Gnarled Tongues
HE01,Smoking Heart of Incense
HE02,Heart of the Virtuous Pain
HE03,Heart of Saltpeter Blood
HE04,Heart of Oils
HE05,Heart of Cerulean Incense
HE06,Heart of the Holy Purge
HE07,Molten Heart of Boiling Blood
HE10,Heart of the Single Tone
HE11,Heart of the Unnamed Minstrel
HE101,Brilliant Heart of Dawn
HE201,Apodictic Heart of Mea Culpa
QI01,Cord of the True Burying
QI02,Mark of the First Refuge
QI03,Mark of the Second Refuge
QI04,Mark of the Third Refuge
QI06,Tentudia's Carnal Remains
QI07,Remains of Tentudia's Hair
QI08,Tentudia's Skeletal Remains
QI10,Melted Golden Coins
QI11,Torn Bridal Ribbon
QI12,Black Greiving Veil
QI13,Egg of Deformity
QI14,Hatched Egg of Deformity
QI19,Bouquet of Rosemary
QI20,Incense Garlic
QI31,Thorn
QI32,Budding Sprout
QI33,Grown Sprout
QI34,Thorny Briar
QI35,Bloodstained Briar
QI37,Olive Seeds
QI38,Holy Wound of Attrition
QI39,Holy Wound of Contrition
QI40,Holy Wound of Compunction
QI41,Empty Bile Vessel
QI44,Knot of Rosary Rope
QI45,Empty Bile Vessel
QI46,Empty Bile Vessel
QI47,Empty Bile Vessel
QI48,Empty Bile Vessel
QI49,Empty Bile Vessel
QI50,Empty Bile Vessel
QI51,Empty Bile Vessel
QI52,Knot of Rosary Rope
QI53,Knot of Rosary Rope
QI54,Knot of Rosary Rope
QI55,Knot of Rosary Rope
QI56,Knot of Rosary Rope
QI57,Golden Thimble Filled with Burning Oil
QI58,Key to the Chamber of the Eldest Brother
QI59,Empty Golden Thimble
QI60,Deformed Mask of Orestes
QI61,Mirrored Mask of Dolphos
QI62,Embossed Mask of Cresente
QI63,Dried Clove
QI64,Sooty Garlic
QI65,Bouquet of Thyme
QI66,Linen Cloth
QI67,Severed Hand
QI68,Dried Flowers bathed in Tears
QI69,Key of the Secular
QI70,Key of the Scribe
QI71,Key of the Inquisitor
QI72,Key of the High Peaks
QI75,Chalice of Inverted Verses
QI79,Crimson Briar
QI80,Vine Braided in Blood
QI81,Cvstodia of Sin
QI101,Quicksilver
QI102,Quicksilver
QI103,Quicksilver
QI104,Quicksilver
QI105,Quicksilver
QI106,Petrified Bell
QI107,Verses Spun from Gold
QI108,Verses Spun from Gold
QI109,Verses Spun from Gold
QI110,Verses Spun from Gold
QI201,Severed Right Eye of the Traitor
QI202,Broken Left Eye of the Traitor
QI203,Incomplete Scapular
QI204,Key Grown from Twisted Wood
QI301,Holy Wound of Abnegation
CO,Collectible
CH,Cherub
LU,Life Upgrade
FU,Fervour Upgrade
SU,Mea Culpa Upgrade
TS,Tears (Small)
TM,Tears (Medium)
TL,Tears (Large)
RW,Bead of Red Wax
BW,Bead of Blue Wax
TH,Thorn Upgrade
